Data Source,World Development Indicators,,,
,,,,
Last Updated Date,2/15/22,,,
,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2014
Aruba,ABW,CO2 emissions (kt),EN.ATM.CO2E.KT,
Africa Eastern and Southern,AFE,CO2 emissions (kt),EN.ATM.CO2E.KT,601860.164
Afghanistan,AFG,CO2 emissions (kt),EN.ATM.CO2E.KT,7810
Africa Western and Central,AFW,CO2 emissions (kt),EN.ATM.CO2E.KT,198440
Angola,AGO,CO2 emissions (kt),EN.ATM.CO2E.KT,34630
Albania,ALB,CO2 emissions (kt),EN.ATM.CO2E.KT,5220
Andorra,AND,CO2 emissions (kt),EN.ATM.CO2E.KT,460
Arab World,ARB,CO2 emissions (kt),EN.ATM.CO2E.KT,1784413.198
United Arab Emirates,ARE,CO2 emissions (kt),EN.ATM.CO2E.KT,183840
Argentina,ARG,CO2 emissions (kt),EN.ATM.CO2E.KT,179910
Armenia,ARM,CO2 emissions (kt),EN.ATM.CO2E.KT,5480
American Samoa,ASM,CO2 emissions (kt),EN.ATM.CO2E.KT,
Antigua and Barbuda,ATG,CO2 emissions (kt),EN.ATM.CO2E.KT,480
Australia,AUS,CO2 emissions (kt),EN.ATM.CO2E.KT,369880
Austria,AUT,CO2 emissions (kt),EN.ATM.CO2E.KT,61990
Azerbaijan,AZE,CO2 emissions (kt),EN.ATM.CO2E.KT,32630
Burundi,BDI,CO2 emissions (kt),EN.ATM.CO2E.KT,390
Belgium,BEL,CO2 emissions (kt),EN.ATM.CO2E.KT,90160
Benin,BEN,CO2 emissions (kt),EN.ATM.CO2E.KT,5510
Burkina Faso,BFA,CO2 emissions (kt),EN.ATM.CO2E.KT,3020
Bangladesh,BGD,CO2 emissions (kt),EN.ATM.CO2E.KT,63800
Bulgaria,BGR,CO2 emissions (kt),EN.ATM.CO2E.KT,42230
Bahrain,BHR,CO2 emissions (kt),EN.ATM.CO2E.KT,30220
"Bahamas, The",BHS,CO2 emissions (kt),EN.ATM.CO2E.KT,2620
Bosnia and Herzegovina,BIH,CO2 emissions (kt),EN.ATM.CO2E.KT,19490
Belarus,BLR,CO2 emissions (kt),EN.ATM.CO2E.KT,59470
Belize,BLZ,CO2 emissions (kt),EN.ATM.CO2E.KT,490
Bermuda,BMU,CO2 emissions (kt),EN.ATM.CO2E.KT,
Bolivia,BOL,CO2 emissions (kt),EN.ATM.CO2E.KT,20170
Brazil,BRA,CO2 emissions (kt),EN.ATM.CO2E.KT,506780
Barbados,BRB,CO2 emissions (kt),EN.ATM.CO2E.KT,1290
Brunei Darussalam,BRN,CO2 emissions (kt),EN.ATM.CO2E.KT,6970
Bhutan,BTN,CO2 emissions (kt),EN.ATM.CO2E.KT,940
Botswana,BWA,CO2 emissions (kt),EN.ATM.CO2E.KT,7130
Central African Republic,CAF,CO2 emissions (kt),EN.ATM.CO2E.KT,300
Canada,CAN,CO2 emissions (kt),EN.ATM.CO2E.KT,561830
Central Europe and the Baltics,CEB,CO2 emissions (kt),EN.ATM.CO2E.KT,635680
Switzerland,CHE,CO2 emissions (kt),EN.ATM.CO2E.KT,39730
Channel Islands,CHI,CO2 emissions (kt),EN.ATM.CO2E.KT,
Chile,CHL,CO2 emissions (kt),EN.ATM.CO2E.KT,76390
China,CHN,CO2 emissions (kt),EN.ATM.CO2E.KT,9894940
Cote d'Ivoire,CIV,CO2 emissions (kt),EN.ATM.CO2E.KT,8960
Cameroon,CMR,CO2 emissions (kt),EN.ATM.CO2E.KT,7750
"Congo, Dem. Rep.",COD,CO2 emissions (kt),EN.ATM.CO2E.KT,4790
"Congo, Rep.",COG,CO2 emissions (kt),EN.ATM.CO2E.KT,4080
Colombia,COL,CO2 emissions (kt),EN.ATM.CO2E.KT,79820
Comoros,COM,CO2 emissions (kt),EN.ATM.CO2E.KT,160
Cabo Verde,CPV,CO2 emissions (kt),EN.ATM.CO2E.KT,500
Costa Rica,CRI,CO2 emissions (kt),EN.ATM.CO2E.KT,7830
Caribbean small states,CSS,CO2 emissions (kt),EN.ATM.CO2E.KT,40210
Cuba,CUB,CO2 emissions (kt),EN.ATM.CO2E.KT,26880
Curacao,CUW,CO2 emissions (kt),EN.ATM.CO2E.KT,
Cayman Islands,CYM,CO2 emissions (kt),EN.ATM.CO2E.KT,
Cyprus,CYP,CO2 emissions (kt),EN.ATM.CO2E.KT,6750
Czech Republic,CZE,CO2 emissions (kt),EN.ATM.CO2E.KT,99750
Germany,DEU,CO2 emissions (kt),EN.ATM.CO2E.KT,737490
Djibouti,DJI,CO2 emissions (kt),EN.ATM.CO2E.KT,460
Dominica,DMA,CO2 emissions (kt),EN.ATM.CO2E.KT,180
Denmark,DNK,CO2 emissions (kt),EN.ATM.CO2E.KT,35760
Dominican Republic,DOM,CO2 emissions (kt),EN.ATM.CO2E.KT,21320
